Rules, confidence
"(gender: female, race/ethnicity: group C) -> lunch: standard", 0.6555555555555556
"(gender: female, lunch: standard) -> test preparation course: none", 0.6534954407294833
"(lunch: standard, reading score: 8) -> test preparation course: none", 0.6494252873563219
"(gender: male, test preparation course: completed) -> lunch: standard", 0.6494252873563219
"(race/ethnicity: group C, test preparation course: none) -> lunch: standard", 0.6485148514851485
"(lunch: standard, math score: 7) -> test preparation course: none", 0.6480446927374302
"(lunch: standard, writing score: 8) -> reading score: 8", 0.6460674157303371
"(lunch: standard, writing score: 7) -> reading score: 7", 0.64375
"(gender: female, test preparation course: none) -> lunch: standard", 0.6437125748502994
"(reading score: 7, test preparation course: none) -> writing score: 7", 0.6424242424242425
"(gender: male, lunch: standard) -> test preparation course: none", 0.6424050632911392
"(lunch: standard, race/ethnicity: group C) -> test preparation course: none", 0.6390243902439025
"(gender: male, lunch: free/reduced) -> test preparation course: none", 0.6325301204819277
"(gender: female, lunch: free/reduced) -> test preparation course: none", 0.6296296296296297
"(test preparation course: none, writing score: 7) -> reading score: 7", 0.6272189349112426
"(gender: female, test preparation course: completed) -> lunch: standard", 0.6195652173913043
"(gender: female, race/ethnicity: group C) -> test preparation course: none", 0.6166666666666667
"(lunch: standard, writing score: 8) -> test preparation course: none", 0.6067415730337079
"(lunch: standard, writing score: 8) -> gender: female", 0.601123595505618
"(lunch: standard, race/ethnicity: group C) -> gender: female", 0.5756097560975609
"(race/ethnicity: group C, test preparation course: none) -> gender: female", 0.5495049504950495
"(lunch: free/reduced, test preparation course: none) -> gender: female", 0.53125
"(lunch: standard, test preparation course: none) -> gender: female", 0.5143540669856459
"(lunch: standard, test preparation course: completed) -> gender: female", 0.5022026431718062
